"CHE-BIO-BIC-057","Chemistry","Bio-inorganic Chemistry","Copper","Copper is important in enzymes involved in","electron transfer","sodium pumping only","glucose storage only","bone calcium only","A","Copper enzymes often participate in redox reactions."
"CHE-BIO-BIC-058","Chemistry","Bio-inorganic Chemistry","Copper","Copper is present in","cytochrome c oxidase","chlorophyll","vitamin B12","hemoglobin heme iron only","A","Cytochrome c oxidase is a copper-containing enzyme."
"CHE-BIO-BIC-059","Chemistry","Bio-inorganic Chemistry","Copper","Copper deficiency may lead to","anemia-like symptoms","fluorosis only","lead poisoning","arsenicosis","A","Copper is needed for iron metabolism and blood formation."
"CHE-BIO-BIC-060","Chemistry","Bio-inorganic Chemistry","Copper","Copper is needed for formation of","connective tissue and melanin","thyroxine only","starch only","sodium chloride","A","Copper enzymes support collagen and melanin formation."
"CHE-BIO-BIC-061","Chemistry","Bio-inorganic Chemistry","Copper","Ceruloplasmin is a copper-containing protein found in","blood plasma","bone marrow only","stomach acid","saliva only","A","Ceruloplasmin carries copper in plasma."
"CHE-BIO-BIC-062","Chemistry","Bio-inorganic Chemistry","Copper","Copper is classified as","essential trace element","non-essential noble gas","major bone mineral only","toxic element at all doses only","A","Copper is essential in trace amounts."
"CHE-BIO-BIC-063","Chemistry","Bio-inorganic Chemistry","Copper","Excess copper accumulation is associated with","Wilson disease","rickets","goitre","scurvy","A","Wilson disease involves copper accumulation."
"CHE-BIO-BIC-064","Chemistry","Bio-inorganic Chemistry","Copper","Dietary copper is commonly obtained from","nuts, liver, and legumes","pure sugar","distilled water","common salt only","A","These foods contain copper."
"CHE-BIO-BIC-065","Chemistry","Bio-inorganic Chemistry","Copper","Copper enzymes are useful because copper can","undergo reversible redox change","remain always inert","act only as Na+","replace calcium in bones only","A","Cu+/Cu2+ interconversion enables electron transfer."
"CHE-BIO-BIC-066","Chemistry","Bio-inorganic Chemistry","Cobalt","Cobalt is an essential component of","vitamin B12","chlorophyll","hemoglobin heme","insulin","A","Vitamin B12 contains cobalt."
"CHE-BIO-BIC-067","Chemistry","Bio-inorganic Chemistry","Cobalt","Vitamin B12 is also called","cobalamin","chlorophyll","ferritin","ceruloplasmin","A","Cobalamin is cobalt-containing vitamin B12."
"CHE-BIO-BIC-068","Chemistry","Bio-inorganic Chemistry","Cobalt","Cobalt is important for","red blood cell formation through vitamin B12","bone mineralization only","surface tension","oxygen binding directly in hemoglobin","A","Vitamin B12 is needed for RBC formation."
"CHE-BIO-BIC-069","Chemistry","Bio-inorganic Chemistry","Cobalt","Deficiency of vitamin B12 can cause","pernicious anemia","lead poisoning","rickets","fluorosis","A","B12 deficiency may cause megaloblastic or pernicious anemia."
"CHE-BIO-BIC-070","Chemistry","Bio-inorganic Chemistry","Cobalt","Cobalt is classified as","trace element","macromineral","noble gas","toxic non-metal only","A","Cobalt is required in trace amount."
"CHE-BIO-BIC-071","Chemistry","Bio-inorganic Chemistry","Cobalt","The biological importance of cobalt is mainly due to its presence in","vitamin B12","ATP","DNA sugar","table salt","A","Cobalt is essential as part of cobalamin."
"CHE-BIO-BIC-072","Chemistry","Bio-inorganic Chemistry","Cobalt","Vitamin B12 is important in","DNA synthesis and nerve function","water transport only","chlorophyll formation in humans","cadmium detoxification only","A","B12 supports DNA synthesis and nervous system."
"CHE-BIO-BIC-073","Chemistry","Bio-inorganic Chemistry","Cobalt","Cobalt deficiency symptoms are mainly linked with deficiency of","vitamin B12","vitamin C","vitamin D","vitamin K only","A","Cobalt deficiency is usually related to cobalamin deficiency."
"CHE-BIO-BIC-074","Chemistry","Bio-inorganic Chemistry","Cobalt","Cobalamin is mainly obtained from","animal-derived foods","pure sugar","distilled water","common salt","A","Vitamin B12 is abundant in animal products."
"CHE-BIO-BIC-075","Chemistry","Bio-inorganic Chemistry","Cobalt","Cobalt in vitamin B12 is present in a complex called","corrin ring complex","porphyrin heme only","chlorophyll ring only","silicate lattice","A","Vitamin B12 contains cobalt in a corrin ring."
"CHE-BIO-BIC-076","Chemistry","Bio-inorganic Chemistry","Nickel","Nickel is required in trace amounts for some","enzymes","bone salts only","hemoglobin heme","vitamin B12","A","Nickel acts as a trace enzyme cofactor in some systems."
"CHE-BIO-BIC-077","Chemistry","Bio-inorganic Chemistry","Nickel","A nickel-containing enzyme is","urease","carbonic anhydrase","hemoglobin","chlorophyll","A","Urease is a nickel-containing enzyme."
"CHE-BIO-BIC-078","Chemistry","Bio-inorganic Chemistry","Nickel","Urease catalyzes hydrolysis of","urea","glucose","DNA","sodium chloride","A","Urease breaks urea into ammonia and carbon dioxide."
"CHE-BIO-BIC-079","Chemistry","Bio-inorganic Chemistry","Nickel","Nickel is classified as a","trace element","macromineral","noble gas","main extracellular cation","A","Nickel is needed only in small amounts."
"CHE-BIO-BIC-080","Chemistry","Bio-inorganic Chemistry","Nickel","Excess nickel exposure may cause","skin allergy or dermatitis","scurvy","rickets","night blindness","A","Nickel can cause allergic contact dermatitis."
"CHE-BIO-BIC-081","Chemistry","Bio-inorganic Chemistry","Nickel","Nickel in biological systems commonly occurs as","Ni2+","Ni-","Ni4+ only","neutral gas","A","Ni2+ is common in biological coordination."
"CHE-BIO-BIC-082","Chemistry","Bio-inorganic Chemistry","Nickel","Nickel is important in plants and microbes because it helps in","urea metabolism","oxygen transport in hemoglobin","thyroid hormone formation","sodium pumping only","A","Urease requires nickel for urea breakdown."
"CHE-BIO-BIC-083","Chemistry","Bio-inorganic Chemistry","Nickel","Nickel deficiency is best associated with impaired activity of","urease","hemoglobin","calmodulin","chloride channel only","A","Urease is nickel-dependent."
"CHE-BIO-BIC-084","Chemistry","Bio-inorganic Chemistry","Nickel","Nickel toxicity is mainly a concern due to","industrial exposure and allergy","lack of sodium","low calcium only","vitamin C excess","A","Nickel exposure can cause dermatitis and toxicity."
"CHE-BIO-BIC-085","Chemistry","Bio-inorganic Chemistry","Nickel","Nickel acts biologically mainly by forming","coordination complexes with proteins","noble gas compounds","simple sugar molecules","radioactive gases","A","Nickel binds to enzyme active sites."
"CHE-BIO-BIC-086","Chemistry","Bio-inorganic Chemistry","Iron","Iron is essential for formation of","hemoglobin","chlorophyll in humans","vitamin C","insulin only","A","Hemoglobin contains iron in heme."
"CHE-BIO-BIC-087","Chemistry","Bio-inorganic Chemistry","Iron","Iron in hemoglobin helps transport","oxygen","nitrogen","chlorine","carbon monoxide only","A","Hemoglobin transports oxygen in blood."
"CHE-BIO-BIC-088","Chemistry","Bio-inorganic Chemistry","Iron","The metal present in heme group of hemoglobin is","iron","magnesium","cobalt","zinc","A","Heme contains Fe ion."
"CHE-BIO-BIC-089","Chemistry","Bio-inorganic Chemistry","Iron","Iron commonly exists in biological systems as","Fe2+ and Fe3+","Fe+ only","Fe4+ only","neutral iron gas","A","Iron participates in redox cycling between Fe2+ and Fe3+."
"CHE-BIO-BIC-090","Chemistry","Bio-inorganic Chemistry","Iron","Iron deficiency causes","anemia","rickets","goitre","scurvy","A","Lack of iron reduces hemoglobin formation."
"CHE-BIO-BIC-091","Chemistry","Bio-inorganic Chemistry","Iron","Ferritin is mainly involved in","iron storage","sodium transport","glucose digestion","oxygen release from lungs only","A","Ferritin stores iron in tissues."
"CHE-BIO-BIC-092","Chemistry","Bio-inorganic Chemistry","Iron","Transferrin is mainly involved in","iron transport in blood","oxygen transport only","calcium storage","sodium pumping","A","Transferrin carries iron in plasma."
"CHE-BIO-BIC-093","Chemistry","Bio-inorganic Chemistry","Iron","Myoglobin contains iron and stores oxygen in","muscle","bone only","liver bile","thyroid gland only","A","Myoglobin stores oxygen in muscle tissue."
"CHE-BIO-BIC-094","Chemistry","Bio-inorganic Chemistry","Iron","Iron is a component of cytochromes involved in","electron transport","glucose absorption only","bone hardness only","lead detoxification","A","Cytochromes transfer electrons in respiration."
"CHE-BIO-BIC-095","Chemistry","Bio-inorganic Chemistry","Iron","Good dietary source of iron is","green leafy vegetables and meat","pure sugar","distilled water","common salt only","A","Meat and green vegetables provide iron."
"CHE-BIO-BIC-096","Chemistry","Bio-inorganic Chemistry","Iron","Vitamin C enhances absorption of","iron","lead","mercury","cadmium","A","Vitamin C improves non-heme iron absorption."
"CHE-BIO-BIC-097","Chemistry","Bio-inorganic Chemistry","Iron","Iron absorption mainly occurs in","small intestine","large intestine only","lungs","kidney tubules only","A","Iron is mainly absorbed in the small intestine."
"CHE-BIO-BIC-098","Chemistry","Bio-inorganic Chemistry","Iron","Heme iron is generally absorbed","more efficiently than non-heme iron","less efficiently than lead","only in lungs","not at all","A","Heme iron from animal foods is better absorbed."
"CHE-BIO-BIC-099","Chemistry","Bio-inorganic Chemistry","Iron","Excess iron can be harmful because it may promote","oxidative damage","night blindness only","vitamin B12 deficiency only","low blood sodium only","A","Excess iron can generate free radicals."
"CHE-BIO-BIC-100","Chemistry","Bio-inorganic Chemistry","Iron","Iron is classified as","essential trace element","noble gas","non-essential poison at all levels","main extracellular cation","A","Iron is essential but required in controlled amount."
"CHE-BIO-BIC-101","Chemistry","Bio-inorganic Chemistry","Chromium","Chromium is an essential trace element involved in","glucose metabolism","oxygen transport by hemoglobin","bone mineralization only","chlorophyll synthesis in humans","A","Chromium is associated with insulin action and glucose metabolism."
"CHE-BIO-BIC-102","Chemistry","Bio-inorganic Chemistry","Chromium","Biologically useful chromium is mainly associated with oxidation state","+3","+6","0","-1","A","Cr3+ is the biologically relevant form."
"CHE-BIO-BIC-103","Chemistry","Bio-inorganic Chemistry","Chromium","Hexavalent chromium Cr(VI) is generally","toxic and carcinogenic","essential in large amount","main bone mineral","safe at all levels","A","Cr(VI) compounds are highly toxic."
"CHE-BIO-BIC-104","Chemistry","Bio-inorganic Chemistry","Chromium","Chromium helps potentiate the action of","insulin","hemoglobin","thyroxine only","vitamin C only","A","Chromium is linked with insulin function."
"CHE-BIO-BIC-105","Chemistry","Bio-inorganic Chemistry","Chromium","Chromium deficiency may disturb","glucose tolerance","bone hardness only","blood clotting only","vision only","A","Chromium deficiency may affect glucose metabolism."
"CHE-BIO-BIC-106","Chemistry","Bio-inorganic Chemistry","Chromium","Chromium is classified as","trace element","macromineral","noble gas","radioisotope only","A","Chromium is required in trace amounts."
"CHE-BIO-BIC-107","Chemistry","Bio-inorganic Chemistry","Chromium","Industrial exposure to Cr(VI) may damage","skin and lungs","only hair color","only tooth enamel","only blood group","A","Cr(VI) can cause dermatitis and respiratory toxicity."
"CHE-BIO-BIC-108","Chemistry","Bio-inorganic Chemistry","Chromium","The safer nutritional form of chromium is","trivalent chromium","hexavalent chromium","metallic chromium vapor","chromate dust only","A","Cr3+ is nutritionally relevant; Cr(VI) is toxic."
"CHE-BIO-BIC-109","Chemistry","Bio-inorganic Chemistry","Chromium","Chromium plays a role mainly in metabolism of","carbohydrates","lead","mercury","arsenic","A","Chromium is linked with carbohydrate metabolism."
"CHE-BIO-BIC-110","Chemistry","Bio-inorganic Chemistry","Chromium","Chromium toxicity from Cr(VI) occurs because it is","strong oxidizing and reactive","a macronutrient","same as calcium","inert gas","A","Cr(VI) can oxidize and damage biomolecules."
"CHE-BIO-BIC-111","Chemistry","Bio-inorganic Chemistry","Calcium","Calcium is most abundant in the body in","bones and teeth","blood plasma only","hair only","lungs only","A","Most body calcium is stored in bones and teeth."
"CHE-BIO-BIC-112","Chemistry","Bio-inorganic Chemistry","Calcium","Calcium occurs biologically mainly as","Ca2+","Ca+","Ca-","neutral calcium gas","A","Calcium is present as Ca2+ ion."
"CHE-BIO-BIC-113","Chemistry","Bio-inorganic Chemistry","Calcium","Calcium is essential for","bone formation and blood clotting","oxygen transport by hemoglobin","vitamin B12 synthesis only","lead detoxification","A","Calcium supports bones and blood coagulation."
"CHE-BIO-BIC-114","Chemistry","Bio-inorganic Chemistry","Calcium","Calcium ion is important in","muscle contraction","carbon dioxide transport only","sodium-glucose pump only","arsenic removal","A","Ca2+ triggers muscle contraction."
"CHE-BIO-BIC-115","Chemistry","Bio-inorganic Chemistry","Calcium","Calcium deficiency in children may cause","rickets","scurvy","goitre","beriberi","A","Calcium and vitamin D deficiency can cause rickets."
"CHE-BIO-BIC-116","Chemistry","Bio-inorganic Chemistry","Calcium","Calcium deficiency in adults may contribute to","osteoporosis","night blindness","lead poisoning","Wilson disease","A","Low calcium can weaken bones."
"CHE-BIO-BIC-117","Chemistry","Bio-inorganic Chemistry","Calcium","Vitamin D helps absorption of","calcium","lead","mercury","cadmium","A","Vitamin D enhances intestinal calcium absorption."
"CHE-BIO-BIC-118","Chemistry","Bio-inorganic Chemistry","Calcium","Calcium is classified as","macronutrient mineral","trace toxic metal","non-essential gas","radioactive tracer only","A","Calcium is required in large amounts."
"CHE-BIO-BIC-119","Chemistry","Bio-inorganic Chemistry","Calcium","Dietary calcium is commonly obtained from","milk and dairy products","pure sugar","distilled water","common salt only","A","Dairy products are rich in calcium."
"CHE-BIO-BIC-120","Chemistry","Bio-inorganic Chemistry","Calcium","Calcium ion is required for release of neurotransmitters at","synapse","stomach lumen only","bone marrow only","hair root","A","Ca2+ helps vesicle fusion at synapses."
"CHE-BIO-BIC-121","Chemistry","Bio-inorganic Chemistry","Calcium","Calcium phosphate is important in","bone mineral","blood plasma gas only","toxic arsenic salt","vitamin B12","A","Bones contain calcium phosphate minerals."
"CHE-BIO-BIC-122","Chemistry","Bio-inorganic Chemistry","Calcium","Parathyroid hormone mainly helps regulate","calcium level in blood","lead level in blood","mercury excretion only","sodium-glucose transport only","A","PTH regulates calcium homeostasis."
